user_id,product_type_id,isbn13,name,author,author_details,book_edition,cluster_subject,cat_id,price,discount,delivery_charge,quantity,no_of_pages,weight,book_language,image,publishing_year,publishing_role_id,imprint_name,currency_code,country_code,description,book_binding,slug
15,1,9.78017E+12,General Certificate English 4Th Edn,NT,,09-08-01,Language,103,1350,20%,0,100,352,684g,English,,09-08-01,202119,Oxford University Press,INR,IN,,Paperback,general-certificate-english-4th-edn
15,1,9.78017E+12,Nelson Spelling Pupil Book 4,JACKMAN,,06-08-14,ELT  Specific Skills,103,160,22%,100,100,48,100g,English,,06-08-14,202119,Oxford University Press,INR,IN,,Paperback,nelson-spelling-pupil-book-4
15,1,9.78017E+12,Nelson Grammar Pupil Book 2,WREN,,05-11-98,Language,103,190,24%,0,100,48,124g,English,9780174247043.jpg,05-11-98,202119,Oxford University Press,INR,IN,,Paperback,nelson-grammar-pupil-book-2
15,1,9.78017E+12,Nelson Grammar  Pupil Book 3,Wendy Wren,,23-10-98,English Language Tea,103,190,24%,0,100,64,148g,English,,23-10-98,202119,Oxford University Press,INR,IN,,Paperback,nelson-grammar-pupil-book-3
15,1,9.78017E+12,Nelson Grammar  Pupil Book  4,Wendy Wren,,26-10-98,English Language Tea,103,190,12%,0,100,64,162g,English,,26-10-98,202119,Oxford University Press,INR,IN,,Paperback,nelson-grammar-pupil-book-4
15,1,9.78017E+12,Encore Tricolore 1 Nvl Edn,HONNOR,,31-07-00,Language,98,1690,10%,0,100,176,460g,English,9780174402718.jpg,31-07-00,202119,Oxford University Press,INR,IN,"his trusted and tested course retains many of the features that have made it so reliable for exam success, but is totally up-to-date and relevant in both content and appearance. Encore Tricolore Nouvelle Edition has been written to help your students achieve excellent results at all stages of their French learning.",Paperback,encore-tricolore-1-nvl-edn
15,1,9.78017E+12,Encore Tricolore 2 Nvl Edn,HONNOR,,20-07-01,Language,98,1690,22%,0,100,176,511g,English,9780174403227.jpg,20-07-01,202119,Oxford University Press,INR,IN,Encore Tricolore Nouvelle Edition has been written to help your students achieve excellent results at all stages of their French learning.,Paperback,encore-tricolore-2-nvl-edn
15,1,9.78017E+12,Encore Tricolore 3 Nvl Edn,HONNOR,,26-06-02,Language,98,1690,3%,110,100,176,531g,English,9780174403432.jpg,26-06-02,202119,Oxford University Press,INR,IN,"This trusted and tested course retains many of the features that have made it so reliable for exam success, but is totally up-to-date and relevant in both content and appearance. Encore Tricolore nouvelle edition has been written to help your students achieve excellent results at all stages of their French learning.",Paperback,encore-tricolore-3-nvl-edn
15,1,9.78017E+12,Encore Tricolore 4 Nvl Edn,HONNOR,,28-09-01,Language,98,1750,13%,0,100,288,794g,English,9780174403449.jpg,28-09-01,202119,Oxford; 2nd edition,INR,IN,Encore Tricolore nouvelle edition builds on the success of Encore Tricolore and Tricolore. The new edition is exactly the right level for middle to high ability. The course now incorporates new features to bring it in line with the revised GCSE and Standard Grade specifications.,Paperback,encore-tricolore-4-nvl-edn
15,1,9.78019E+12,Free Trade And Prosperity Epzi C,ARVIND PANAGARIYA,"Arvind Panagariya is Professor of Economics and the Jagdish Bhagwati Professor of Indian Political Economy at Columbia University, USA. From January 2015 to August 2017, he served as the first Vice Chairman of the NITI Aayog, Government of India in the rank of a Cabinet Minister. ",12-11-18,Economics,109,695,24%,100,100,348,450g,English,9780190050665.jpg,12-11-18,202119,Oxford University Press,INR,IN,"Arguments against free trade and in favor of protection have a long history when it comes to developing countries, and it is rather surprising that similar assertions have gained increasing appeal in developed countries, including the United States and Great Britain, given the clear benefits openness brings. The benefits are especially great for emerging markets.Free Trade and Prosperity offers the first full-scale defense of pro-free-trade policies with developing countries at its center. Arvind Panagariya, a professor at Columbia University and former top economic advisor to the government of India, supplies a historically informed analysis of many longstanding but flawed arguments for protection. He starts with an insightful overview of the positive case for free trade, and then closely examines the various contentions of protectionists. One is that “infant” industries need time to grow and become competitive, and thus should be sheltered. Others are that emerging markets are especially prone to coordination failures, they are in need of diversification of production structure, and that they suffer from capital-market imperfections. The panoply of protectionist arguments, including those for import substitution industrialization, fails when subject to close logical and empirical scrutiny. It does so because the costs of protection far outweigh the benefits.Free trade and outward-oriented policies are preconditions to both sustained rapid growth and poverty alleviation in developing countries. Panagariya provides compelling evidence demonstrating the failures of protectionism and the promise of free trade, including through detailed case studies of successful countries such as Singapore, Taiwan, South Korea, China, and India. Low or declining barriers to trade and high or rising shares of trade in total income have been key elements in sustained rapid growth and poverty alleviation in these countries and many others.Free trade is like oxygen: the benefits are ubiquitous and not noticed until they are no longer there. This important book is an essential reminder of the costs of protectionism.",Hardback,free-trade-and-prosperity-epzi-c
15,1,9.78019E+12,Business And Politics In India Epzi C,"JAFFRELOT, KOHLI, & MURALI",,12-02-19,Politics,90,795,0%,0,100,336,464g,English,9780190053307.jpg,12-02-19,202119,OUP USA,INR,IN,"Over the last few decades, politics in India has moved steadily in a pro-business direction. This shift has important implications for both government and citizens. In Business and Politics in India, leading scholars of Indian politics have gathered to offer an analytical synthesis of this vast topic. Collectively, they cover the many strategies that businesses have used to exert their newfound power in recent times and organize the book around a few central concerns. They first analyze the nature of business power and how it shapes political change in India. Second, they look at the consequences of business' growing power on some important issue areas-labor, land, urban governance, and the media. Finally, they take account of regional variation and analyze state-business relations. This definitive account offers significant insights into how and why corporations have increased their power in contemporary Indian politics.",Hardback,business-and-politics-in-india-epzi-c
15,1,9.78019E+12,Democracy In The Woods Epzi P,PRAKASH KASHWAN,Prakash Kashwan is Associate Professor of Political Science at the University of Connecticut.,03-12-18,Politics,90,595,13%,0,100,336,400g,English,9780190053314.jpg,03-12-18,202119,Oxford University Press,INR,IN,How do societies negotiate the apparently competing agendas of environmental protection and social justice? Why do some countries perform much better than others on this front?,Paperback,democracy-in-the-woods-epzi-p
