user_id,product_type_id,isbn13,name,author,author_details,book_edition,cat_id,price,discount,delivery_charge,quantity,no_of_pages,weight,book_language,image,publisher,publishing_year,publishing_role_id,currency_code,country_code,description,book_binding,status,slug,created_at
15,1,9789350715840,Corporate Laws (University Edition),"G.K. Kapoor, A.P Suri",N/A,3rd Edition 2015,0,325,5,0,50,344,0.365 g,English,9789350715840.jpg,Taxmann Publications ,3rd Edition 2015,2012,INR,IND,Taxmann Publications Private Limited; Third edition (1 August 2015),Paperback,1,corporate-laws-university-edition,2023-02-19 17:15:10
15,1,9789386189035,Fundamentals of Business Statistics - B.Com (Hons.),J.K. Thukral,N/A,4th Edition,0,695,5,0,50,884,0.98 g,English,9789386189035.jpg,Taxmann Publications ,4th Edition,,INR,IND,"This book is a comprehensive & authentic book on ‘Business Statistics (Elective Subject in Commerce)’. This book aims to fulfil the requirement of students of undergraduate courses, particularly the B.Com. (H) Semester III, Paper BCH-3.4(a) and other Central Universities throughout India.

 

The Present Publication is the 4th Edition, authored by Dr. J.K. Thukral, with the following noteworthy features:

·    The subject-matter is presented in simple, step-by-step manner along with comprehensive explanation of the concept and theories. The book aims to present a qualitative understanding of the subject.

·    [Student-Oriented Book] This book has been developed, keeping in mind the following factors:

o   Interaction of the author/teacher with his/her students in the class-room

o   Shaped by the author/teachers experience of teaching the subject-matter at different levels

o   Reaction and responses of students have also been incorporated at different places in the book

·    Each chapter starts with Chapter objectives which specifically state what the student should be able to do upon completion of the chapter.

·      Two new chapter have been added in this new edition:

o   Sampling and Sampling Distributions

o   Theory of Estimation

·    Numerous illustrations and careful page layout are designed to make the materials easy to follow.

·    Large number of exercises are inserted, within the chapter, along with answers to all problems. A list of formulae for each chapter is appended at the end of the chapter.

·    An appendix explaining how to use log table is given at the end of the book.

·    Question appeared in Latest Question Paper of Delhi University have been incorporated at appropriate places.

·    Contents of this book is as follows:

o   Chapter 1 – Introduction to Statistics

o   Chapter 2 – Organizing Statistical Data

o   Chapter 3 – Measures of Central Tendency

o   Chapter 4 – Measures of Dispersion

o   Chapter 5 – Moments, Skewness and Kurtosis

o   Chapter 6  – Probability Concepts

o   Chapter 7 – Discrete Probability Distributions

o   Chapter 8 – Normal Distribution

o   Chapter 9 – Decision Theory

o   Chapter 10 – Simple Linear Correlation

o   Chapter 11 – Simple Linear Regression

o   Chapter 12 – Index Number

o   Chapter 13 – Time Series

o   Chapter 14 – Sampling and Sampling Distribution

o   Chapter 15 – Theory of Estimation

o   Appendices

§  How to use Log Table

§  Tables",Paperback,1,fundamentals-of-business-statistics-bcom-hons,2023-02-19 17:15:10
15,1,9789386635174,Micro Economics,"Pradeep kumar Mehta, Meena Singh",N/A,2nd Edition 2017,0,360,5,0,50,484,o.535 g,English,9789386635174.jpg,Taxmann Publications ,2nd Edition 2017,,INR,IND,"A comprehensive and authentic text book on”Micro Economics” for undergraduate programmes in all the courses of Indian Universities.[THREE YEARS (6-SEMESTER) CBCS PROGRAMME OF CENTRAL UNIVERSITIES THROUGHOUT INDIA]
A unit-by-unit, analytical and lucid presentation of subject matter
Wherever required subject has been duly illustrated and explained with the help of tables, graphs and diagrams
Large number of numerical problems with solutions have been incorporated at suitable places
Numerous illustrations from day-to-day life
Past examination questions of Delhi University as well as  important questions of other universities have been given at the end of each chapter",Paperback,1,micro-economics,2023-02-19 17:15:10
15,1,9789386635167,Introductory Micro Economics (Generic Elective in Economics-I),"Pradeep kumar Mehta, Meena Singh",N/A,2nd Edition 2017,0,350,5,0,50,440,.455 g,English,9789386635167.jpg,Taxmann Publications ,2nd Edition 2017,,INR,IND,"A comprehensive and authentic text book on”Micro Economics” for Generic Elective in Economics[THREE YEARS (6-SEMESTER) CBCS PROGRAMME OF CENTRAL UNIVERSITIES THROUGHOUT INDIA]
A unit-by-unit, analytical and lucid presentation of subject matter
Wherever required subject has been duly illustrated and explained with the help of tables, graphs and diagrams
Large number of numerical problems with solutions have been incorporated at suitable places
Numerous illustrations from day-to-day life
Past examination questions of Delhi University as well as  important questions of other universities have been given at the end of each chapter",Paperback,1,introductory-micro-economics-generic-elective-in-economics-i,2023-02-19 17:15:10
15,1,9789386635532,e-Commerce,Shivani Arora,N/A,,0,255,5,0,50,248,.29 g,English,9789386635532.jpg,Taxmann Publications ,,,INR,IND,"This book is a comprehensive & authentic book on ‘e-Commerce’. This book aims to fulfill the requirement of students of undergraduate courses in commerce and management, particularly the B.Com. (Hons) Semester (III) Paper BCH 3.5 (a) Skill Enhancement Course (SEC-1) and CBCS of various Central Universities throughout India.

 

The Present Publication is the Latest Edition, authored by Dr. Shivani Arora, with the following noteworthy features:

·    The subject-matter is presented in simple, systematic method along with comprehensive explanation of the concept and theories underlying e-commerce.

·    [Student-Oriented Book] This book has been developed, keeping in mind the following factors:

o   Interaction of the author/teacher with his/her students in the class-room

o   Shaped by the author/teachers experience of teaching the subject-matter at different levels

o   Reaction and responses of students have also been incorporated at different places in the book

·    This book contains various current examples (Indian & Global Scenarios), pictorial, tabular representation, additional readings, to equip the students with ample skills to enhance their performance. This book also contains a summary at the end of each chapter followed by review questions

·    Special emphasis has been given to the importance of Online Retailing and Demonetisation, in the growth of e-Commerce

·    Past examination questions of Delhi University have been given at the end of each chapter

·    Contents of this book is as follows:

o   Introduction to E-Commerce

o   Technology used in E-Commerce

o   E-Commerce Security and Controls

o   Web-Designing

o   E-Payment

o   Online Business Transactions

o   E-Retailing

o   Security and Legal Aspects of E-Commerce",Paperback,1,e-commerce,2023-02-19 17:15:10
15,1,9789386635549,Organisational Behaviour,"Inder Jeet, Suman Solanki",N/A,,0,275,5,0,50,264,.305 g,English,9789386635549.jpg,Taxmann Publications ,,,INR,IND,"This book is a comprehensive & authentic book on ‘Organisational Behaviour’. This book is based upon the syllabus of B.Com (Hons) Sem (V) Paper BCH 5.3 DSE Group and BMS Sem 1, University of Delhi and CBCS Programme of various Central Universities throughout India

 

The Present Publication is the Latest Edition, authored by Dr. Inder Jeet and Dr. Suman Solanki, with the following noteworthy features:

·    The subject-matter is presented in a simple, systematic method along with comprehensive explanation of the concept and theories underlying organisational behaviour

·    [Case-Studies] The main-focus of this book is on application. Case studies given at the end of the unit, help the students to develop problem solving abilities and to see how a concept is implemented in practice

·    [Student-Oriented Book] This book has been developed, keeping in mind the following factors:

o   Interaction of the author/teacher with his/her students in the class-room

o   Shaped by the author/teachers experience of teaching the subject-matter at different levels

o   Reaction and responses of students have also been incorporated at different places in the book

·    Use of diagram, tables and boxes has been made to make the subject self-explanatory

·    Contents of this book is as follows:

o   Introduction to Organisational Behaviour

o   Evolution of Organisational Behaviour

o   Understanding and Developing Organisational Structure

o   Personality

o   Learning

o   Perception

o   Values and Attitudes

o   Group Decision Making

o   Communication & Feedback

o   Transactional Analysis

o   Motivation

o   Leadership

o   Power and Politics in Organisations

o   Conflict

o   Organisational Culture and Climate

o   Organisational Change

o   Organisation Development

o   Work Stress

o   Emotions and Emotional Intelligence",Paperback,1,organisational-behaviour,2023-02-19 17:15:10
15,1,9789386635723,Fundamentals of Management Accounting,R.P. Rustagi,N/A,5th Edition,0,350,5,0,50,280,.47 g,English,9789386635723.jpg,Taxmann Publications ,5th Edition,,INR,IND,"This book is a comprehensive & authentic textbook on ‘Management Accounting’. The purpose of this book is as follows:

·    Understand what kind of information the managers need,

·    Wherefrom this information can be obtained

·    How this information can be used to carry out the functions of planning, control and decision making

This book aims to fulfill the requirement of students of undergraduate courses & B.Com (Hons.) Annual Mode under the CBCS Programme of Delhi University and other Central Universities throughout India. This book may also be referred by students of  MBA/M.Com/ CA/ CS/ ICWA/ PGDM/ CFA and other post-graduate courses in commerce and management)

 

The Present Publication is the 5th Edition, authored by Dr. R.P. Rustagi, with the following noteworthy features:

·    The subject-matter is presented in simple, systematic method along with comprehensive explanation of the concept and theories underlying marketing.

·    [Student-Oriented Book] This book has been developed, keeping in mind the following factors:

o   Interaction of the author/teacher with his/her students in the class-room

o   Shaped by the author/teachers experience of teaching the subject-matter at different levels

o   Reaction and responses of students have also been incorporated at different places in the book

·    Synopsis at the beginning of every chapter to present a concise view of the contents of the chapter

·    Summary in the form of ‘points to remember’, at the end of every chapter is given to recapitulate the contents of  the chapter

·    Numerous examples and 260+ solved ‘graded’ illustrations are provided

·    Questions set in university examinations have been incorporated at appropriate places

·    165+ multiple-choice questions are given at the end of different chapters

·    Contents of this book is as follows:

o   Management Accounting: An Overview

o   Cost: Concepts, Behaviour and Analysis

o   Absorption Costing and Variable Costing

o   Cost-Volume-Profit Analysis

o   Relevant Costs and Alternative Choice Decisions

o   Budgeting and Budgetary Control

o   Standard Costing and Variance Analysis

o   Responsibility Accounting

o   Appendix

§  Solutions to Numerical Problems set in Question Papers of ‘Management Accounting’ of University of Delhi",Paperback,1,fundamentals-of-management-accounting,2023-02-19 17:15:10
15,1,9789386882592,Introductory Macro Economics,"Sangita, Vaishali Kapoor",N/A,,0,275,5,0,50,188,0.34 g,English,9789386882592.jpg,Taxmann Publications ,,,INR,IND,"This book is a comprehensive & authentic book on ‘Introductory Macroeconomics’. This book aims to fulfill the requirement for General Elective in Economics under CBCS programme of various Central Universities throughout Central India

This book is also useful for students of BA (Hons.) Economics for their core paper in Semester-II

 

The Present Publication is the Latest Edition, authored by Ms. Sangita and Ms. Vaishali Kapoor, with the following noteworthy features:

·    The subject-matter is presented in a simple, systematic method along with comprehensive explanation of the concept and theories underlying macroeconomics

·    [Student-Oriented Book] This book has been developed, keeping in mind the following factors:

o   Interaction of the author/teacher with his/her students in the class-room

o   Shaped by the author/teachers experience of teaching the subject-matter at different levels

o   Reaction and responses of students have also been incorporated at different places in the book

·    This book includes recent Indian data on macroeconomics variables along with an intuitive approach that makes learning easy

·    Questions are given at the beginning of the chapter for creating curiosity among students, along with a detailed description of figures in the boxes below it

·    Key points of the chapter are given in text boxes with a summary at the end of the chapter for revision

·    Back exercises including previous years’ examination paper questions have been provided

·    Contents of this book is as follows:

o   Introduction to Macro Economics

o   National Income Accounting

o   Classical System of Determination of Output and Interest Rate

o   National Income Determination

o   Money

o   Demand for Money

o   Credit Creation and Monetary Policy

o   Inflation and its Social Costs

o   IS-LM Model

o   Aggregate Demand and Aggregate Supply",Paperback,1,introductory-macro-economics,2023-02-19 17:15:10
15,1,9789387957664,Industrial Laws by Sushma Arora,"Sushma Arora, Raman Arora",N/A,3rd Edition 2018,0,295,5,0,50,266,0.285 g,English,9789387957664.jpg,Taxmann Publications ,3rd Edition 2018,,INR,IND,"A Comprehensive Text Book on ”Industrial Laws”for Paper BCH 5.4(b) DSE Group of B.Com (Hons.) andPaper BC 5.2(d) of B.Com. : Three year (6 Semester)CBCS programme of Delhi University and other Central Universities throughout India.
Industrial laws covered are : Employees’ Provident Funds and Miscellaneous Provisions Act, 1952, Employees’ State Insurance Act, 1948, Payment of Wages Act, 1936, Payment of Bonus Act, 1965, Payment of Gratuity Act, 1972 and Employees’ Compensation Act, 1923.
Presents complicated provisions of the Industrial Law in simple and lucid language.
Indian and English Case Laws have been quoted at appropriate places in each chapter which ensure necessary authenticity and clarity on the subject.
Test questions and Practical problems (including examination questions) along with hints are given at the end of each chapter to provide students a thorough practice in solving examination questions.
Figures/Tables/Examples have been inserted at relevant places to help the reader to understand the concept clearly.",Paperback,1,industrial-laws-by-sushma-arora,2023-02-19 17:15:10
15,1,9789387957824,Fundamentals of GST & Customs Law,K.M. Bansal,N/A,2018 Edition,0,525,7,0,50,426,0.705 g,English,9789387957824.jpg,Taxmann Publications ,2018 Edition,,INR,IND,"An authentic and comprehensive text book on “GST and Customs Law” for B.Com., CBCS Programme, Delhi University and other Central Universities throughout India. 
Systematic and sequential approach in all the topics.
Every Chapter begins with Introduction, which aims to set the objective and focus of the reader regarding the content that will follow.
Every chapter contains complete explanation of the topic with suitable examples followed by graded illustrations and questions for practice.
The questions asked in recent university examination have been incorporated in the book.
The book covers all topics including Avoidance of Dual Control, Anti-Profiteering measures, E-Way Bills, etc.
The book is also useful for other commerce and management courses of various Universities/Institutions.",Paperback,1,fundamentals-of-gst-customs-law,2023-02-19 17:15:10
