id,isbn13,name,author,publisher,book_edition,book_edition,book_language,book_binding,currency_code,price,weight,delivery_charge,quantity,discount,publishing_year,description,no_of_pages,image,cat_id
615,9780007260812,"If You Could See Me Now"," Cecelia Ahern ","HarperCollins; (Reissue) edition (1 March 2012)",,,English,undefined,INR,399,"290 g",35.00,50,20.00,,"There's more than a touch of fairytale about Cecelia Ahern's novels?thanks to a liberal sprinkling of magic? A must for die-hard romantics' Glamour A beautifully written love story? Closer An enchanting, unexpected love story? You",432,9780007260812.jpg,0
654,9789353022853,"A CHANGE OF HEART","Sonali Dev,","HarperCollins; 1st edition (25 August 2018)",NULL,NULL,English,"paper back",INR,299,"249 g",55.00,50,20.00,NULL,"Sonali Dev won the American Library Association's award for best romance 2014, and is a RITA(R) finalist, RT Reviewer Choice Award Nominee, and winner of the RT Seal of Excellence. She was hailed by NPR.org as a 'stunning debut'.",336,9789353022853.jpg,0
660,978-0061999147,"Rumi's Secret: The Life of the Sufi Poet of Love ",",Brad   Gooch                                                ","Harper (17 January 2017)",NULL,NULL,English,hardcover,INR,499,"2548 KB",0.00,50,20.00,NULL,"A dazzling feat of scholarship the book restores Rumi to the glories and hardships of his momentous age.(Washington Post) rofound, important .flows with the ease of good fictionRumi?s Secret offers an expanded view of the 13th century poet.Christian Science Monitor)",383,978-0061999147.jpg,0
689,9780062956163,"First Comes Scandal: A Bridgerton Prequel","Julia Quinn (Author) ","HarperLuxe; Large type / Large print edition (21 April 2020)",NULL,NULL,English,Paperback,INR,399,"408 g",0.00,50,5.00,NULL,"Continuing her delightful Bridgertons Prequel series, #1?ew York Times?estselling author Julia Quinn presents the latest love story between the Bridgerton and Rokesby families.",432,9780062956163.jpg,0
1523,9781250270962,"EXTREME OWNERSHIP","Jocko Willink",,10-Sep-19,10-Sep-19,English,Paperback,INR,699,undefined,0.00,50,22.00,PAN,"An updated edition of the blockbuster bestselling leadership book that took America and the world by storm, two U.S. Navy SEAL officers who led the most highly decorated special operations unit of the Iraq War demonstrate how to apply powerful leadership principles from the battlefield to business and life. Now with an excerpt from the authors' new book, THE DICHOTOMY OF LEADERSHIP. Combat, the most intense and dynamic environment imaginable, teaches the toughest leadership lessons, with absolutely everything at stake. Jocko Willink and Leif Babin learned this reality first-hand on the most violent and dangerous battlefield in Iraq. As leaders of SEAL Team Three?s Task Unit Bruiser, their mission was one many thought impossible: help U.S. forces secure Ramadi, a violent, insurgent-held city deemed ?all but lost.? In gripping, firsthand accounts of heroism, tragic loss, and hard-won victories, they learned that leadership-at every level-is the most important factor in whether a team succeeds or fails. Willink and Babin returned home from deployment and instituted SEAL leadership training to pass on their harsh lessons learned in combat to help forge the next generation of SEAL leaders. After leaving the SEAL Teams, they launched a company, Echelon Front, to teach those same leadership principles to leaders in businesses, companies, and organizations across the civilian sector. Since that time, they have trained countless leaders and worked with hundreds of companies in virtually every industry across the U.S. and internationally, teaching them how to develop their own high-performance teams and most effectively lead those teams to dominate their battlefields. Since it?s release in October 2015, Extreme Ownership has revolutionized leadership development and set a new standard for literature on the subject. Required reading for many of the most successful organizations, it has become an integral part of the official leadership training programs for scores of business teams, military units, and first responders. Detailing the mindset and principles that enable SEAL units to accomplish the most difficult combat missions, Extreme Ownership demonstrates how to apply them to any team or organization, in any leadership environment. A compelling narrative with powerful instruction and direct application, Extreme Ownership challenges leaders everywhere to fulfill their ultimate purpose: lead and win.",360,"51k6kgHmFML._SX329_BO1,204,203,200_.jpg",0
1524,9788129148049,"EYES OF THE CAT","Ruskin Bond",NULL,3-Jul-17,3-Jul-17,English,Paperback,INR,195,145g,0.00,50,22.00,"Rupa Publications India","?Her eyes seemed flecked with gold when the sun was on them. And as the sun set over the mountains, drawing a deep red wound across the sky, there was more than gold in Kiran?s eyes. There was anger??Who does not enjoy short stories that are pithy, compelling and gripping? In this collection, Ruskin Bond selects some of the best short stories for his readers. There is O. Henry?s classic story about hunting in the great outdoors; Guy de Maupassant?s Gothic horror classic about a severed hand with a mind of its own; Edgar Allan Poe?s tale about a heart that doesn?t seem to stop beating; and stories by H.G. Wells, Arthur Conan Doyle, Charles Dickens and by Ruskin Bond himself.Always entertaining and completely unputdownable, the stories in Eyes of the Cat will keep readers riveted till the very last page",124,9788129148049.jpg,0
1525,9789353041182,"F?@K  KNOWS - DEAD OR ALIVE (PB)","Shailendra Singh",NULL,20-Jul-18,20-Jul-18,English,Paperback,INR,295,60g,0.00,50,22.00,"Rupa Publications India","After the phenomenal success of his first book F?@K Knows, the entertainment maverick turned social entrepreneur is still not turning to the phrase ?God Knows?. Instead he is back with some more ?Fs? in his life with F?@K Knows: Dead or Alive. With the same honesty and humour, he sets out to share his latest trials and good fortunes and weighs in on some of the more universal maladies of our times by gazing back in his life and answering the questions: ? What does he see when he looks in to the mirror now? ? What is it like to be the prostitute, the pimp and run the whorehouse at the same time? ? What?s it like to live with the mother of all mothers? ? Is social media really that social? Is there any hope for the ?wired up? generation? ? Does God have the best PR company?",246,9789353041182.jpg,0
1526,9788129123886,"F?@K KNOWS","Shailendra Singh ",NULL,1-Feb-13,1-Feb-13,English,Paperback,INR,195,249g,0.00,50,21.00,"Rupa Publications India",,256,9788129123886.jpg,0
1527,9788129129666,"FABLES FROM INDIA BOX SET","Terry O'Brien",NULL,1-Mar-12,1-Mar-12,English,Paperback,INR,560,422g,0.00,50,22.00,"Rupa Publications India",,0,9788129129666.jpg,0
1528,9788129148025,"FAILING TO SUCCEED","K. Vaitheeswaran ",NULL,1-Jun-19,1-Jun-19,English,Paperback,INR,595,240g,50.00,50,13.00,"Rupa Publications India","You can get things right and yet go wrong. In 1999, when hardly anyone in India transacted on the Internet, K. Vaitheeswaran co-founded India?s first e-commerce company. Yet, years later, when e-commerce was exploding in India? despite enjoying first-mover advantage?Indiaplaza shut down. What went wrong? Lack of funding? Wrong strategies? Or was it ?something else?? for the first time ever, Vaitheeswaran reveals that it was indeed something else?a set of inexplicable events that destroyed what could have been a profitable business (an extreme br>rarity among technology start-ups). he bares his extraordinary trials and tribulations while dealing with business failure and the impossible pressures that can threaten entrepreneurs in India. Coming at the back of stories of young start-ups raising billions of dollars in funding and creating unicorns in just a few years, as well as the recent setbacks in the e-commerce industry, failing to succeed delves deep into the dark side of starting up and its myriad pitfalls. Filled with interesting anecdotes, tongue-in-cheek observations, amazing customer insights, hard-hitting predictions and behind-the-scenes industry happenings, this book is an extraordinary Unravelling of the challenges facing technology start-ups in India. It is a must-read for aspiring entrepreneurs, investors, industry professionals or business School students, and anyone interested in India?s start-up ecosystem. A powerful narration, failing to succeed is eventually about finding ways to move forward and succeed despite failures...",224,9788129148025.jpg,0
